Basin ID,PICP,PINAW,Mean_NSE,Mean_MSE,Mean_RMSE,Mean_KGE,Mean_Alpha-NSE,Mean_Beta-KGE,Mean_Beta-NSE,Mean_Pearson-r,Mean_FHV,Mean_FMS,Mean_FLV,Mean_Peak-Timing,Mean_Peak-MAPE,Median_NSE,Median_MSE,Median_RMSE,Median_KGE,Median_Alpha-NSE,Median_Beta-KGE,Median_Beta-NSE,Median_Pearson-r,Median_FHV,Median_FMS,Median_FLV,Median_Peak-Timing,Median_Peak-MAPE
12178100,95.48254620123203,1.2125842384022933,0.8168844431638718,8.622315406799316,2.9363779400477923,0.8057195484976614,0.8446290493011475,0.9274998307228088,-0.06802824139595032,0.9086299448962302,-16.534899175167084,-18.362496667383464,16.81287372291872,0.1111111111111111,25.826822386847603,0.8163677901029587,8.646642684936523,2.9405174178937497,0.8066261047541345,0.8479450941085815,0.9232959151268005,-0.07197282463312149,0.908407138265715,-16.45064800977707,-18.190970135580518,-1683.5055927778094,0.1111111111111111,25.9537935256958
12186000,97.056810403833,1.1201646620445327,0.8172447979450226,10.816932678222656,3.288910560994728,0.8754749291522909,0.9204962849617004,0.9989537596702576,-0.000894745986443013,0.9041639006119914,-6.625848263502121,-7.165315839036032,43.158628089225736,0.25,28.862041234970093,0.8165108561515808,10.860373497009277,3.2955080787352466,0.8774892723339215,0.9243699312210083,0.9931932091712952,-0.005821117199957371,0.9038613569454441,-6.654229760169983,-6.595534429278163,14.492468473199144,0.25,28.863757848739624
12189500,97.67282683093771,1.3083940553337179,0.8074697703123093,6.148377418518066,2.4795921879450393,0.8747545786639727,0.9389747381210327,0.9543761610984802,-0.04619338735938072,0.9005977952853628,-9.722396731376648,-16.82961289933507,33.51267098002252,0.3,27.832565307617184,0.8063754588365555,6.183323860168457,2.4866290153877912,0.8745622620398515,0.942293643951416,0.9502066969871521,-0.05041491612792015,0.9003745536962386,-9.711920469999313,-16.412704194892484,6.744492450696182,0.3,28.074634075164795
12358500,99.7946611909651,1.688899850983785,0.90357705950737,0.9958183765411377,0.997906997941761,0.8541119769294458,0.9405611753463745,1.1254621744155884,0.09253260493278503,0.9551716140136344,-3.0243948101997375,-30.623576570606126,3.216645562531215,0.6666666666666666,31.52206341425578,0.9127418845891953,0.9011676907539368,0.9492985256250727,0.952001046446793,0.9848937392234802,1.011256456375122,0.008302059955894947,0.9558526035033811,-3.1096601858735085,-3.0456217595813424,-2957.098472537556,0.5,31.648202737172443
12374250,99.31553730321697,5.709055429155243,-0.4022575616836548,0.5933043956756592,0.7702625498332755,-0.8113757917448823,0.36805373430252075,2.6562180519104004,0.8536913394927979,0.6276185548170687,-49.99599754810333,-85.36783007375115,40.0280170992283,0.5,29.679548740386963,0.367689847946167,0.2675345838069916,0.5172374539870364,0.4133576972533647,0.5672006011009216,0.9398301839828491,-0.031014295294880867,0.6085750839242172,-53.540754318237305,0.30918169305936055,-2101.3893208941854,0.75,53.285616636276245
12375900,97.74127310061603,1.5195915422288468,0.7341075241565704,3.3803367614746094,1.8385692158509044,0.6915615290970127,0.7209625244140625,0.9827961325645447,-0.012531047686934471,0.8697064679392581,-30.165398120880127,-23.805991411983708,6.805818803550517,0.75,44.65843141078949,0.7376215159893036,3.335662841796875,1.8263797090958043,0.7007627713026243,0.745334804058075,0.9113184809684753,-0.0645943209528923,0.8702920773560544,-30.211859941482544,-4.02546855905642,-3091.4123659465763,0.75,44.55955624580383
12377150,98.76796714579056,1.4422252957604602,0.8512230217456818,3.453216791152954,1.858283291415212,0.839345410431466,0.9386107921600342,1.1297760009765625,0.09821969270706177,0.9278927751140926,-2.353394031524658,-26.178718926037952,59.505520543869586,0.8,36.87004566192627,0.856397807598114,3.333106756210327,1.82567980659543,0.875316235437248,0.9554919600486755,1.0918779373168945,0.06953684985637665,0.9284212310833452,-2.308998815715313,-18.78324187323886,-36.612593040413174,0.8,36.693406105041504
12381400,99.65776865160849,2.7478417006703264,0.7617682069540024,0.5751819610595703,0.7584075164840933,0.6219251386889224,0.7221658825874329,1.2398765087127686,0.17374083399772644,0.9094016306728238,-7.480496913194656,-57.00416274230871,90.08536226518112,1.0,20.267045497894287,0.8270216733217239,0.41763532161712646,0.6462471056934231,0.7793768022016015,0.8326126933097839,0.882453978061676,-0.08513777703046799,0.9173016463751432,-7.409168034791946,1.9122814589285535,-410.29763965641786,0.8,16.758239269256592
12383500,99.58932238193019,3.4397572198098767,0.7177807092666626,0.5587349534034729,0.7474857546491925,0.6151825118823337,0.6404885649681091,1.0771735906600952,0.08712711185216904,0.8865087485877046,-21.43241912126541,-43.478868368921766,57.173534603557826,1.0,34.500062465667725,0.755102276802063,0.4848461151123047,0.6963089221834693,0.6964343426944772,0.7313247919082642,0.9132303595542908,-0.09796087443828583,0.8884797312184063,-21.508033573627472,-14.005708891170046,-58.024011608840574,0.5,34.33412313461304
12388400,99.9315537303217,3.5619279477902777,0.6820650398731232,0.3795291483402252,0.6160593707916675,0.3799110155358171,0.6321046948432922,1.4961522817611694,0.3367299437522888,0.9452614724288302,-24.41433072090149,-76.5027711460842,52.861181233835055,0.5,28.04061472415924,0.8619146943092346,0.1648368388414383,0.4060010330546442,0.7389469742109092,0.7822641134262085,0.8659633994102478,-0.09096831828355789,0.9473316444730998,-24.40260648727417,-12.628041128908428,-2179.0616940092355,0.75,28.005701303482056
12390700,99.9315537303217,3.0738966413224724,0.7614012360572815,0.46504369378089905,0.6819411219312845,0.5604499931111112,0.7880688309669495,1.3787040710449219,0.2892455756664276,0.9301958831994165,-13.154995441436768,-52.02449782574706,18.562330036072396,0.6,15.175360441207886,0.8600296527147293,0.27281084656715393,0.5223129775978709,0.8797153970870117,0.9124642014503479,1.0403064489364624,0.03078513965010643,0.9280190313739642,-13.260570168495178,-2.0411880362265604,-3858.9629742372076,0.6,15.645830631256102
12411000,96.16700889801506,1.6934191156450087,0.7058983445167542,2.4333693981170654,1.5599260873890999,0.6689018116539097,0.7716792225837708,1.1889768838882446,0.11909682303667068,0.8524080954726829,-18.197281658649445,-44.63544918855244,20.06431470777303,0.16666666666666666,25.968460241953533,0.7279822528362274,2.2506494522094727,1.5002164684502943,0.7656812755597338,0.8208103179931641,1.03934907913208,0.02479853853583336,0.8542331572096735,-18.185731768608093,-12.993914075385696,-2389.3979112049574,0.16666666666666666,26.00873112678528
